id	title	description	link	image_link	availability	price	brand	condition	google_product_category	product_type	identifier_exists	excluded_destination
noche-serena	Noche Serena	Una infusión de perfil floral y cálido, donde la manzanilla y la lavanda crean un aroma delicado y envolvente. La melisa aporta frescura y la canela junto al anís dejan un fondo dulce y especiado, dando forma a una mezcla suave, equilibrada y nocturna.	https://arcanoespecias.com/blends/noche-serena/	https://arcanoespecias.com/img/noche-serena.webp	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
dulces-suenos	Dulces Sueños	Una infusión herbal y floral de perfil suave, donde la manzanilla se encuentra con la lavanda y la melisa para crear un aroma delicado y envolvente. El anís aporta un matiz sutilmente dulce y especiado, dando como resultado una mezcla serena, equilibrada y agradable.	https://arcanoespecias.com/blends/dulces-suenos/	https://arcanoespecias.com/img/dulces-suenos.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
sobremesa-arcano	Sobremesa Arcano	Una mezcla aromática de perfil cálido y especiado, donde el anís y el hinojo aportan un carácter dulce y ligeramente herbal. El jengibre, la canela y el cardamomo suman profundidad, creando un aroma envolvente, elegante y perfecto para cerrar la experiencia gastronómica.	https://arcanoespecias.com/blends/sobremesa-arcano/	https://arcanoespecias.com/img/sobremesa-arcano.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
energia-andina	Energía Andina	Una infusión especiada y aromática, con el jengibre como protagonista y un fondo cálido de canela y cardamomo. La naranja aporta un matiz fresco y luminoso, mientras el clavo añade profundidad. Una mezcla de carácter vibrante, cálido y envolvente.	https://arcanoespecias.com/blends/energia-andina/	https://arcanoespecias.com/img/energia-andina.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
chai-imperial	Chai Imperial	Una infusión especiada de aroma envolvente, donde la canela y el cardamomo aportan calidez y un dulzor aromático muy característico. El jengibre, el clavo y el anís suman profundidad y un toque ligeramente picante, creando una taza intensa, elegante y reconfortante.	https://arcanoespecias.com/blends/chai-imperial/	https://arcanoespecias.com/img/chai-imperial.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
respirar	Respirar	Una mezcla herbal y balsámica de perfil fresco, donde el eucalipto y la menta aportan una sensación limpia y refrescante. El jengibre y el limón suman vivacidad, mientras el anís deja un fondo aromático y ligeramente dulce. Una combinación intensa, fresca y envolvente.	https://arcanoespecias.com/blends/respirar/	https://arcanoespecias.com/img/respirar.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
golden-wellness	Golden Wellness	Una mezcla cálida y aromática, protagonizada por la cúrcuma y acompañada por jengibre, canela y cardamomo. La pimienta negra aporta profundidad y la panela redondea el perfil con un matiz suave y dulce. Un blend de color dorado, sabor especiado y carácter envolvente.	https://arcanoespecias.com/blends/golden-wellness/	https://arcanoespecias.com/img/golden-wellness.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
gin-botanicals-classic	Gin Botanicals Classic	Una mezcla botánica elegante, construida alrededor del enebro y realzada por cardamomo, naranja, pimienta rosa y limón. Su aroma es fresco, cítrico y floral, con un equilibrio entre notas especiadas y frutales que deja una expresión limpia y sofisticada.	https://arcanoespecias.com/blends/gin-botanicals-classic/	https://arcanoespecias.com/img/gin-botanicals-classic.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
citrus-gin	Citrus Gin	Una mezcla botánica de perfil cítrico y especiado, con el limón y el enebro como protagonistas. El cardamomo y el clavo aportan profundidad aromática, mientras la pimienta blanca deja un final limpio y sutilmente intenso. Fresca, elegante y de gran expresión aromática.	https://arcanoespecias.com/blends/citrus-gin/	https://arcanoespecias.com/img/citrus-gin.webp	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
caribbean-rum	Caribbean Rum	Una mezcla tropical de aroma cálido y frutal, donde la canela se combina con naranja, jengibre y piña para crear un perfil dulce, especiado y expresivo. Una selección pensada para quienes disfrutan sabores tropicales con un fondo aromático y sofisticado.	https://arcanoespecias.com/blends/caribbean-rum/	https://arcanoespecias.com/img/caribbean-rum.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
spiced-mojito	Spiced Mojito	Una mezcla fresca y aromática, donde la menta y el limón marcan el perfil principal. El jengibre aporta vivacidad, mientras el cardamomo y la pimienta rosa agregan matices especiados y frutales. Un balance refrescante, cítrico y lleno de personalidad.	https://arcanoespecias.com/blends/spiced-mojito/	https://arcanoespecias.com/img/spiced-mojito.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Cocteleria	FALSE	
moscow-mule	Moscow Mule	Una mezcla fresca y aromática, con el jengibre y el limón como protagonistas. La pimienta rosa aporta un matiz delicadamente especiado, mientras el cardamomo y la manzana suman profundidad y un toque frutal. Un perfil cítrico, vibrante y elegante.	https://arcanoespecias.com/blends/moscow-mule/	https://arcanoespecias.com/img/moscow-mule.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
whisky-oak-spice	Whisky Oak Spice	Una mezcla cálida y aromática, donde la canela, el clavo y el cardamomo construyen un perfil especiado y profundo. El jengibre aporta una nota fresca y vibrante, creando un blend elegante, intenso y especialmente expresivo en bebidas de carácter.	https://arcanoespecias.com/blends/whisky-oak-spice/	https://arcanoespecias.com/img/whisky-oak-spice.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
vermu-botanico	Vermú Botánico	Una mezcla botánica de perfil cálido y aromático, con cardamomo como protagonista y notas profundas de canela y clavo. Su expresión es especiada, elegante y ligeramente dulce, con un aroma complejo que aporta personalidad a bebidas de carácter.	https://arcanoespecias.com/blends/vermu-botanico/	https://arcanoespecias.com/img/vermu-botanico.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
arcano-signature	Arcano Signature	La expresión más botánica de ARCANO: una mezcla elegante donde el enebro y la pimienta blanca se encuentran con notas de naranja, cardamomo y canela. Su aroma es fresco, cítrico y especiado, con una profundidad sofisticada que transforma cada preparación o bebida en una experiencia distintiva.	https://arcanoespecias.com/blends/arcano-signature/	https://arcanoespecias.com/img/arcano-signature.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
curry-madras	Curry Madrás	Una mezcla de especias intensa y cálida, con cúrcuma, comino y fenogreco formando una base profunda y aromática. El jengibre, la pimienta negra y la cayena aportan vivacidad y un picante elegante. Un curry de gran carácter, complejo y lleno de capas de sabor.	https://arcanoespecias.com/blends/curry-madras/	https://arcanoespecias.com/img/curry-madras.webp	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
piri-piri	Piri Piri	Una mezcla de especias fresca y picante, donde el ajo y la cayena construyen el carácter principal. El limón aporta luminosidad y la cebolla redondea el conjunto, creando un perfil vibrante, intenso y con un picante limpio y expresivo.	https://arcanoespecias.com/blends/piri-piri/	https://arcanoespecias.com/img/piri-piri.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
berbere	Berbere	Una mezcla de especias de gran carácter, inspirada en los sabores de Etiopía, con pimienta negra, paprika y cayena construyendo un perfil cálido y picante. El jengibre, el clavo y el fenogreco aportan capas aromáticas que hacen de este blend una experiencia intensa y compleja.	https://arcanoespecias.com/blends/berbere/	https://arcanoespecias.com/img/berbere.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
costela-brasileira	Costela Brasileira	Un sazonador intenso y ahumado, construido alrededor del pimentón ahumado y el ajo. La mostaza aporta carácter, el tomillo un toque herbal y la pimienta negra un final más profundo. Una mezcla de sabor robusto, cálido y envolvente.	https://arcanoespecias.com/blends/costela-brasileira/	https://arcanoespecias.com/img/costela-brasileira.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
sal-de-ajo	Sal de Ajo	Una mezcla de sal de Himalaya y ajo que reúne un sabor sabroso, limpio y profundamente aromático. El ajo aporta intensidad y carácter, mientras la sal equilibra el conjunto. Un condimento esencial para quienes buscan realzar el sabor con una combinación sencilla y versátil.	https://arcanoespecias.com/blends/sal-de-ajo/	https://arcanoespecias.com/img/sal-de-ajo.jpg	out of stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
toque-naranja	Toque Naranja	Una mezcla de perfil cítrico y especiado, donde la naranja aporta un aroma dulce, fresco y expresivo. La pimienta negra introduce profundidad y la sal de Himalaya equilibra el conjunto, creando un acabado vibrante, aromático y ligeramente picante.	https://arcanoespecias.com/blends/toque-naranja/	https://arcanoespecias.com/img/toque-naranja.jpg	out of stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
sal-ahumada	Sal Ahumada	Una combinación sencilla y poderosa: sal de Himalaya y pimentón ahumado se unen para aportar un sabor mineral, profundo y ligeramente tostado. Un condimento de gran carácter que transforma el perfil de cualquier preparación con un toque ahumado elegante.	https://arcanoespecias.com/blends/sal-ahumada/	https://arcanoespecias.com/img/sal-ahumada.jpg	out of stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
toque-limon	Toque Limón	Una mezcla fresca y luminosa donde el limón es protagonista, acompañado por la suavidad de la menta y el carácter mineral de la sal de Himalaya. Su perfil cítrico, limpio y refrescante aporta un toque inmediato de sabor y aroma.	https://arcanoespecias.com/blends/toque-limon/	https://arcanoespecias.com/img/toque-limon.jpg	out of stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
frescura-silvestre	Frescura Silvestre	Es una infusión natural de aroma fresco y delicado, donde la manzanilla aporta una nota floral y suave, acompañada por la frescura de la menta y matices cálidos de jengibre y canela. Una mezcla equilibrada, aromática y reconfortante, pensada para disfrutar una taza ligera y con personalidad.	https://arcanoespecias.com/blends/frescura-silvestre/	https://arcanoespecias.com/img/frescura-silvestre.jpg	out of stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Infusiones	FALSE	
citrus-balance	Citrus Balance	Una mezcla frutal y especiada de perfil fresco, donde la manzana y el limón aportan luminosidad y el jengibre introduce un toque cálido y vibrante. El cardamomo y la canela completan un aroma elegante, equilibrado y lleno de matices cítricos y dulces.	https://arcanoespecias.com/blends/citrus-balance/	https://arcanoespecias.com/img/citrus-balance.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Cocteleria	FALSE	
invierno-nordico	Invierno Nórdico	Una infusión de perfil cálido y frutal, donde la canela se encuentra con la dulzura natural de la manzana y la intensidad aromática del jengibre. La clitoreana aporta un matiz floral y un color distintivo, creando una mezcla envolvente, elegante y reconfortante.	https://arcanoespecias.com/blends/invierno-nordico/	https://arcanoespecias.com/img/invierno-nordico.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Infusiones	FALSE	
manzana-ginger	Manzana Ginger	Una infusión frutal y especiada, donde la manzana aporta dulzura y suavidad mientras el jengibre introduce un toque cálido y fresco. La canela y el clavo completan el aroma con notas profundas y envolventes, creando una mezcla equilibrada y reconfortante.	https://arcanoespecias.com/blends/manzana-ginger/	https://arcanoespecias.com/img/manzana-ginger.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Infusiones	FALSE	
ajo	Ajo	Bulbo deshidratado de perfil intenso y rico en umami; base aromática indispensable para carnes, adobos y salsas gourmet.	https://arcanoespecias.com/blends/ajo/	https://arcanoespecias.com/icons/logo.png	out of stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	Shopping
